操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821076,0,0,0,0,0,0,23,0,0,39,0,32,0,0,110,10,1,69,0,1,0,0,0,0,72,0,0,130,29,0,117,2,0,1,29,0,0,1,0,0,0,22,0,83,0,1,0,0,28,11,32,172,147,129,110,0,0,0,0,24,0,0,3,107,0,38,14,1,24,1,0,0,45,0,27,0,4,0,0,0,4,0,71,0,12,168,2,0,欠,欠,欠,
1821077,欠,欠,欠,欠,欠,9,14,16,0,11,31,1,35,0,31,102,0,0,48,24,0,0,1,0,0,90,15,29,112,46,38,97,0,1,0,26,1,0,7,15,57,1,0,0,98,0,2,0,1,0,0,4,欠,56,119,144,72,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821078,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,30,欠,120,2,109,0,0,0,0,13,93,欠,欠,55,131,0,0,0,139,0,24,7,0,0,0,0,0,0,欠,0,0,106,40,0,0,0,0,0,0,42,137,157,0,0,欠,0,0,0,0,62,81,0,98,0,0,0,0,0,38,47,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,
1821079,33,51,68,40,1,3,0,0,0,17,9,10,0,0,59,77,0,61,77,50,88,50,53,21,7,16,75,82,43,69,104,74,7,0,42,0,0,0,0,0,0,0,0,6,2,1,0,0,1,0,47,57,103,98,95,2,0,0,0,0,0,65,77,1,0,0,68,0,0,0,0,1,28,0,51,4,0,0,0,0,0,6,0,0,25,109,47,36,9,0,欠,
1821080,欠,欠,欠,欠,欠,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,0,欠,
1821081,欠,欠,欠,欠,欠,欠,欠,60,26,38,0,42,0,0,88,67,1,61,78,23,5,0,0,0,101,20,0,0,0,0,92,173,32,1,欠,70,0,0,0,0,2,0,0,0,120,28,1,0,0,0,0,0,21,119,96,135,39,4,22,0,0,49,0,131,44,52,72,0,0,0,0,0,88,10,53,32,0,18,0,0,0,0,0,0,0,0,0,欠,欠,欠,欠,
1821084,欠,欠,欠,欠,5,17,15,0,0,33,6,30,2,4,88,22,0,67,11,10,0,0,0,0,76,6,0,79,62,0,71,50,0,0,0,0,17,0,0,1,16,2,35,40,0,7,0,0,1,4,7,38,140,112,87,90,43,1,0,17,31,0,28,50,0,56,0,36,21,0,0,41,8,0,29,0,0,0,0,0,0,0,0,0,0,60,70,17,55,13,欠,
1821085,0,0,49,0,0,18,100,0,0,71,0,46,0,0,103,0,0,0,63,0,0,1,0,0,59,9,11,138,0,1,136,0,1,0,24,0,0,1,16,4,0,6,1,92,0,0,0,0,0,0,0,160,246,132,78,15,0,0,17,0,0,1,32,93,0,0,64,0,26,3,0,0,46,1,38,0,5,0,11,7,23,0,57,1,1,81,64,0,欠,15,欠,
1821086,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821087,0,0,0,0,0,8,0,0,94,0,65,0,0,110,84,0,89,57,0,0,1,0,0,94,49,0,75,192,0,90,70,0,0,37,8,2,0,6,24,14,0,17,184,53,1,0,0,7,8,0,156,138,229,9,0,0,4,0,32,0,139,0,51,0,0,100,0,29,34,42,0,61,0,36,17,1,11,16,28,1,2,12,114,0,91,278,2,欠,欠,欠,欠,
