操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821096,0,0,0,0,6,24,18,3,4,5,0,4,0,0,8,2,5,0,1,3,3,0,3,5,21,2,0,10,9,0,1,1,0,0,1,0,1,0,0,7,11,0,0,8,1,2,0,2,10,10,0,1,13,3,3,4,0,6,9,4,1,3,0,3,3,1,4,0,2,18,7,2,6,15,0,7,16,18,3,0,0,14,0,7,1,7,3,2,欠,欠,欠,
1821097,欠,欠,欠,欠,欠,0,2,0,3,1,0,欠,3,0,4,2,0,3,3,0,0,2,0,0,2,2,1,1,3,5,8,15,8,13,6,2,5,9,11,15,欠,8,8,12,8,8,7,5,4,5,4,1,7,8,2,2,1,2,4,2,1,3,1,2,3,0,2,4,4,1,0,4,2,0,3,1,2,3,0,0,5,5,5,1,0,3,1,欠,欠,欠,欠,
1821098,欠,欠,欠,欠,欠,欠,欠,欠,欠,2,1,2,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,2,0,1,0,0,0,1,1,1,6,0,0,0,1,2,0,0,2,0,欠,欠,欠,
1821099,1,0,0,0,2,欠,2,欠,3,4,2,欠,2,1,0,0,0,4,1,0,0,0,0,0,4,0,1,1,6,2,1,0,0,1,0,0,0,0,0,欠,3,0,1,4,2,1,2,欠,4,2,3,2,1,5,7,8,1,4,4,0,6,0,0,3,欠,0,3,3,2,2,12,5,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821101,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,9,6,4,3,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,1,0,6,0,0,0,欠,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,欠,
1821102,0,0,0,0,0,0,9,1,0,2,0,3,0,0,3,2,0,2,5,0,0,0,0,0,2,3,3,3,6,1,1,1,0,0,1,0,0,1,4,1,0,0,0,5,0,0,0,0,3,0,0,3,3,3,0,3,0,1,0,0,0,4,0,4,1,0,7,0,2,0,3,0,4,0,3,0,0,5,5,7,4,7,2,1,1,4,2,1,欠,欠,欠,
1821104,欠,欠,欠,欠,欠,4,4,0,6,2,5,0,0,5,3,0,3,6,0,0,0,0,4,0,11,0,3,10,0,3,2,0,0,0,0,3,0,0,0,1,4,0,5,4,0,0,0,2,0,0,4,4,6,3,2,0,0,0,6,0,3,0,0,6,0,6,0,0,3,3,0,11,0,0,4,0,0,0,0,0,4,0,3,5,3,10,0,欠,欠,欠,欠,
1821105,0,1,0,0,0,2,0,0,1,0,0,1,2,5,0,5,0,0,6,0,0,0,0,1,4,0,1,2,6,0,2,0,0,0,1,0,0,31,5,3,4,1,0,0,2,2,0,0,1,0,2,1,7,9,0,0,7,0,0,1,0,1,0,1,3,0,5,0,0,0,0,0,6,0,0,0,4,欠,0,0,1,2,7,3,0,3,3,0,欠,欠,欠,
1821106,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,7,0,0,3,2,0,4,2,0,0,0,0,0,4,0,0,4,5,1,1,2,0,0,0,1,0,欠,0,0,0,0,0,欠,欠,0,2,0,0,0,0,2,2,4,0,2,1,0,0,0,0,2,1,3,0,3,1,0,2,0,0,1,3,0,3,0,0,0,0,0,1,5,4,1,0,4,欠,欠,欠,欠,欠,
1821107,欠,欠,欠,欠,欠,欠,欠,2,0,0,3,0,0,1,0,0,欠,欠,2,0,39,43,17,21,18,0,1,2,0,4,3,1,0,0,6,0,0,0,4,2,0,0,0,0,1,0,0,0,0,欠,20,6,0,1,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,5,1,1,0,0,3,8,0,2,欠,欠,欠,
