操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821090,欠,欠,欠,欠,14,0,2,0,39,24,97,4,64,0,6,0,0,121,86,60,77,1,1,84,81,欠,91,8,113,8,142,10,0,0,5,156,25,0,7,0,0,0,0,0,51,66,2,61,0,0,105,103,113,128,0,0,0,0,0,24,85,0,98,3,35,79,15,0,3,0,7,95,124,197,33,11,76,116,136,102,128,1,0,101,156,115,30,0,7,0,欠,
1821093,0,12,0,0,0,1,0,3,1,140,1,105,11,0,0,0,121,19,4,91,116,113,54,68,0,0,3,0,110,0,0,0,1,0,45,144,3,0,0,1,0,0,2,48,0,39,10,67,13,138,127,52,0,14,0,0,0,0,0,14,97,1,72,130,0,2,19,0,65,80,50,28,83,188,17,4,80,4,1,21,144,140,11,0,1,欠,欠,欠,欠,欠,欠,
1821096,欠,欠,欠,欠,欠,12,12,3,0,52,97,4,109,39,0,2,44,120,0,0,1,128,0,29,107,87,94,51,39,8,116,24,7,10,5,97,86,2,22,欠,45,84,26,0,40,10,69,40,38,4,105,96,125,42,74,47,0,35,0,0,46,63,21,57,91,66,26,12,0,62,55,0,85,177,137,2,68,64,10,16,0,25,107,52,91,75,55,39,1,欠,欠,
1821097,欠,欠,欠,4,0,0,0,0,0,0,26,20,0,15,0,1,3,21,20,0,11,40,37,37,31,44,40,22,6,0,6,24,37,8,0,0,17,10,0,2,2,0,0,0,0,37,2,0,18,63,38,30,52,51,39,0,0,0,0,0,0,17,3,16,10,17,3,22,18,39,0,20,4,6,29,28,欠,41,56,55,41,39,54,41,45,26,0,1,欠,欠,欠,
1821098,欠,欠,欠,欠,27,0,0,1,0,0,95,0,58,6,0,0,0,43,101,30,69,42,0,17,88,28,50,17,100,0,15,0,94,3,0,56,62,0,14,0,0,0,0,0,0,42,40,14,36,0,62,29,39,84,17,0,0,0,19,72,46,41,68,0,5,69,4,14,0,0,0,75,73,105,126,11,3,113,93,51,78,64,91,63,52,0,41,2,0,欠,欠,
1821099,17,37,4,0,35,1,0,54,97,109,41,81,53,0,0,0,0,6,0,41,31,54,62,76,13,81,22,59,58,74,85,14,97,2,0,40,80,57,39,92,欠,64,82,88,54,76,41,89,57,52,0,16,2,0,0,0,0,0,0,8,11,0,3,0,0,2,63,70,64,1,0,7,86,0,4,0,32,103,14,0,26,0,0,0,0,欠,欠,欠,欠,欠,欠,
1821102,0,0,0,8,0,0,欠,2,4,68,97,64,12,2,0,0,141,1,0,74,90,0,26,147,46,79,115,49,0,0,125,0,6,19,46,欠,欠,欠,130,0,35,1,2,2,19,62,37,65,25,68,65,133,55,109,125,0,0,61,1,0,80,78,107,74,57,2,49,9,66,86,0,100,46,185,44,0,61,137,94,78,97,76,35,78,5,24,24,20,0,欠,欠,
1821104,欠,欠,欠,欠,欠,欠,欠,3,0,118,0,59,1,0,0,0,114,55,0,0,105,16,0,58,45,56,67,33,0,26,88,0,1,0,0,113,0,0,0,0,0,3,0,67,0,0,35,54,0,49,80,136,20,0,0,0,0,0,0,0,84,0,68,34,0,0,16,0,0,12,126,0,126,124,0,4,127,91,75,119,23,0,0,26,欠,欠,欠,欠,欠,欠,欠,
1821105,欠,20,0,0,0,0,欠,0,0,0,0,0,0,0,0,0,0,0,0,134,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,0,0,0,0,0,0,0,0,0,0,7,21,0,0,25,175,59,39,9,192,50,0,0,0,4,欠,125,123,0,0,18,233,150,18,15,95,0,13,10,0,8,0,1,0,1,129,54,欠,欠,
1821106,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,90,134,156,104,68,50,欠,14,14,38,0,0,0,30,183,4,108,28,欠,44,0,132,0,6,0,0,0,0,0,52,1,23,22,62,0,0,0,0,0,0,0,0,0,194,17,0,77,2,26,43,80,0,13,0,0,57,61,0,46,130,166,87,106,0,0,0,0,0,0,0,0,59,158,欠,欠,欠,
